Source	Target
Drink||Drinks	bar
ally||aly	alley
annex||annx||anx	anex
arc	arcade
ave||avn||avnue	avenue
blk	block
blvd||boul||boulv	boulevard
br||brnch	branch
in the morning	breakfast
brdge||brg	bridge
bldg	building
bite||bites	snacks
cp||cmp	camp
cswy||causwa||cswy	causeway
centr||centre||cnter||cntr||ctr	center
chilli crab	chili crab
clb	club
cor	corner
crse	course
ct	court
cres||crsent||crsnt	crescent
tonight||at night||in the evening	dinner
dr||driv||drv	drive
encl	enclave
est	estate
expw||expy	expressway
ext||extn||extnsn	extension
frt	fort
gardn||grden||grdn	garden
gtway||gtwy||gwy	gateway
grov||grv	grove
harb||harbr||hbr||hrbor	harbor
hts	heights
highwy||hiway||hiwy||hway||hwy	highway
hl	hill
jct||jction||jctn||junctn||juncton	junction
lk	lake
ln	lane
ldg||ldge||lodg	lodge
lor	lorong
at noon	lunch
mnr	manor
mcdonald||mcdonalds||mac donalds||mc donald's	mcdonald's
missn||mssn	mission
mnt||mt	mount
mntain||mntn||mtin||mtn	mountain
orch||orchrd	orchard
prk	park
parkwy||pkway||pkwy||pky	parkway
pl	place
plz||plza	plaza
pt	point
prt	port
rstrnt	restaurant
rdg||rdge	ridge
riv||rvr||rivr	river
rd	road
skwy	skyway
spg||spng	spring
sq||sqr||sqre||squ	square
sta||statn||stn	station
st	street
strt||st||str	street
ter||terr	terrace
vly||vally||vlly	valley
vw	view
vill||villag||villg||vlg	village
vl	ville
vis||vist||vst||vsta	vista
wy	way
tmn	taman
fastfood	fast food
affordable	low price and very low price
break my bank	high price and very high price
breaking my bank	low price and very low price
budget friendly	low price and very low price
cheap	low price and very low price
cheaper	low price and very low price
cheapest	low price and very low price
classy	high price and very high price
decent priced	low price and very low price
fancy	high price and very high price
high-class	high price and very high price
i'm not rich	low price and very low price
inexpensive	low price and very low price
low budget	low price and very low price
mid priced	medium price
moderately priced	low price and medium price
more affordable	low price and very low price
nice restaurants	medium price and high price and very high price
nice places	medium price and high price and very high price
nice ones	medium price and high price and very high price
nice	medium price and high price and very high price
nicer	medium price and high price and very high price
nicer ones	medium price and high price and very high price
not expensive	low price and very low price
not so expensive	low price and very low price
posh	high price and very high price
premium	high price and very high price
reasonable	low price and very low price
reasonably priced	low price and very low price
slim budget	low price and very low price
something cheaper	low price and very low price
Not so expensive please	low price and very low price
These are too cheap	medium price and high price
something nicer	medium price and high price and very high price
I want nicer restaurants	medium price and high price and very high price
Nicer ones please	medium price and high price and very high price
I want nicer ones	medium price and high price and very high price
tight budget	low price and very low price
too cheap	medium price and high price
too expensive	low price and very low price
too posh	low price and very low price
too pricey	low price and very low price
top budget	high price and very high price
upmarket	high price and very high price
kid||kids||children	child
in the afternoon||this afternoon||in the evening||this evening	PM
this morning	AM
12nn||12 noon||noon||this noon	12:00 PM
@	at
&	and
mes	mes
2mor||2moro||tm||tmmr||tmo||tmr||tmrw||tmw||tom	tomorrow
snacks of taiwan	snacks of taiwan
alan banana leaves	alan banana leaves
little india	little india
nutmeg & clove	nutmeg & clove
burgers vs wings	burgers vs wings
finedining	fine dining
b q tonight	b q tonight
barbq tonight	bar b q tonight
7 treasures hut	7 treasures hut
j dees gourmet	j dees gourmet
los primos taberna	los primos taberna
y tapas bar	y tapas bar
a half gourmands	a half gourmands
o learys sports	o learys sports
k ki sweets	k ki sweets
7 degrees c	7 degrees c
white lies 7	white lies 7
deadly sins	deadly sins
4 fingers crispy	4 fingers crispy
8 noodles	8 noodles
7 sensations	7 sensations
lady m confections	lady m confections
cups n canvas	cups n canvas
6 stone jars	6 stone jars
o batignolles wine	o batignolles wine
by 93 degrees	by 93 degrees
